ID	GoogleMapsID	Name	Types	Address	Phone Number	International Phone Number	Opening hours	Website	Operational	Rating	Total Reviewers	Reviews	Wheelchair Accessible	Latitude	Longitude
0	ChIJo_O3_cQSVBMRfzZp3ll_Xfg	Bord Life	food, point of interest, establishment	1106, Skopje 1000, Skopje	070 331 114	+389 70 331 114	Monday - Sunday:  7:00 AM – 10:00 PM 	Not found	OPERATIONAL	4.9	18	Review Author: Simon K. | Rating: 5 | Text: Nice little family-winery near Skopje. They produce just small quantity but very good quality and tasty wine (try their Vranec!) for reasonable prices. Really friendly family, thank you for the spontaneous tasting yesterday!! | ------Review Author: HOSSAM DOO Skopje, Macedonia | Rating: 5 | Text: Good wine | ------Review Author: Aleksandar Ivanov | Rating: 5 | Text: We highly recommend it. We have been guests of the winery twice and were not disappointed. First class wine 😀 | ------Review Author: Miroslav Geroski | Rating: 4 | Text: Very good | ------	Yes	42.0586418	21.3176565
1	ChIJX4itd88_VBMRCLmXem76yWo	Winery „Kamnik“	tourist attraction, bar, point of interest, food, establishment	Kamnik bb Skopje MK	02 252 1789	+389 2 252 1789	Monday - Sunday:  8:00 AM – 4:00 PM 	www.chateaukamnik.com	OPERATIONAL	4.8	158	Review Author: Nathan Whalley | Rating: 5 | Text: One of the most pleasant experiences I have had at a winery,  personal experience, great hospitality from our guide, very handy information,  brings a good smile to the enjoyment of tasting.  Highly recommended,  I brought 4 bottles today as I found their wine to be unique and a step above the rest. I hope to see plenty online or overseas in the future. | ------Review Author: Cristi | Rating: 4 | Text: We booked very easily with e-mail, very responsive. The place is conveniently located near Skopje, important winery. The location has multiple attractions for staying and spending time. We had a short tour with explanations on wine making process. Then we had the actual tasting of 5 wines, according to what we chose. The wines were good and nice presentation. We felt hurried to move on wine by wine on the tasting part which was the single negative point, everything took 45 minutes, but overall a good experience. Price was somewhere mid, depending on wine selection, but no appetizers included. By the way, some neutralizer is required, maybe bread only or crackers. | ------Review Author: Olha Kalinina | Rating: 5 | Text: Amazing experience at wine tasting! Jane (our guide) was very knowledgeable and hospitable. Great wines!nHighly recommended.nnP.S. make sure you book your tour in advance as weekends and evenings are not easily available.  We book ours almost 3 weeks ahead | ------Review Author: Evalt Domi | Rating: 5 | Text: Nice experience, as winemaker the winetasting was explained great. Going back again for new edition of wine. | ------Review Author: Andrej Petkovic | Rating: 5 | Text: Top expirence. Somelier Jane with extraordinary presentation of great wines. | ------	Yes	42.0077514	21.4902808
2	ChIJM9rxECQTVBMRt9VHpU1PX5A	Winery Kuvin	point of interest, food, establishment	Makedonska Prerodba бр.70, Skopje	075 233 340	+389 75 233 340	Not found	www.winerykuvin.com	OPERATIONAL	5.0	10	Review Author: Z.M. Todorovski | Rating: 5 | Text: Very good place, the wines are really  great and the host Ivica is the master of the wines. I recommend | ------Review Author: Saso Mojsovski | Rating: 5 | Text:  | ------Review Author: pance pancevski | Rating: 5 | Text:  | ------	Yes	42.00948349999999	21.351241
3	ChIJL2QhlP89VBMRsCVZ9OPqf1E	Winery „Kartal“	liquor store, tourist attraction, point of interest, store, food, establishment	ul.1519 br.7 Skopje MK	070 242 419	+389 70 242 419	Monday - Saturday:  12:00 – 4:00 PM  Sunday:  Closed	www.kartal.com.mk	OPERATIONAL	4.9	53	Review Author: Matthijs Flamand | Rating: 5 | Text: Incredible experience. Jordan is a kind and gracious host and very knowledgeable on all things wine. He gave an amazing tour through the wine processing facility and explained all the steps in detail. We learned so much from the experience. The wine tasting afterwards was just as good, if not better. Not only were the wines delicious, but Jordan explained each wine in terms of flavour and pairings, also in relation the the available charcuterie and cheeses (which were superb). I cannot recommend this place highly enough. Must visit if you are in Skopje! | ------Review Author: I S | Rating: 5 | Text: Great family owned winery in Skopje! They offer excellent wine selection paired with great food and a super informative tour all throughout. The hosts Jordan and Filip were wonderful and super helpful as well! | ------Review Author: Szilvi Ónodi | Rating: 5 | Text: This winery is a must if you like wine. The hosts are very friendly and passionate winemakers. They gave a tour around the winery and explained the wine-making process in details. We tasted 6 kinds of wine and they were all delicious, high quality ones. It was very interesting to taste the balkan specific grape varieties. | ------Review Author: Charlotte Jansson | Rating: 5 | Text: Very nice wine tasting experience! Personal information and service from Jordan and his brother. Well spent couple of ours were we learned a lot about the process of making wine. Also very good wines. We can definitely recommend this place if you are interested in wines. | ------Review Author: Stefanie Kienzle | Rating: 5 | Text: We had a awsome wine tasting with a lot of information about wine, winemaking, Makedonia and the entire region. We tasted two white, one rose and three red wines accompanied with bread, local cheese, salami, bacon, nuts, dried fruits, crackers, strawberry and olive oil.nThe owners are nice and super helpful with all Kindstod of information.nI highly recomend to visit the winery! | ------	Yes	41.96243399999999	21.4763996
4	ChIJ81Roz8kVVBMRcEw7I8AKE3s	Filovski Winery	point of interest, food, establishment	23, 11th October St. 1/1, Skopje	02 313 3394	+389 2 313 3394	Not found	Not found	OPERATIONAL	0.0	0	Not found	No	41.9922146	21.4342922
5	ChIJ0WHcqXRUVBMRrYo4cQ_7sHM	Kupenica Winery	point of interest, food, establishment	6Q5P+X83, Nikuljane		Not found	Not found	Not found	OPERATIONAL	4.0	7	Review Author: Nenad Jankovic | Rating: 5 | Text: Great place, huge frontyard, nice pool ,quiet and secluded by all the pines around. House was also spacious with spacious 4 bedrooms. | ------Review Author: Borislav NT | Rating: 5 | Text:  | ------Review Author: Dragan Petrusevic | Rating: 5 | Text:  | ------Review Author: Cristy Bretan | Rating: 2 | Text:  | ------Review Author: Annabella Krstevska | Rating: 5 | Text:  | ------	No	42.20989580000001	21.7857068
6	ChIJy5GBJzgUVBMRDv7ltyZOnjo	Vardar Winery & Wines	point of interest, food, establishment	Vasil Gjorgov, Skopje	043 370 287	+389 43 370 287	Not found	Not found	OPERATIONAL	0.0	0	Not found	No	41.9929627	21.4158512
7	ChIJkcpVFnBOVBMRqOr9Irl7bes	Winery & Hotel „Kokino“	lodging, point of interest, food, establishment	Kozjacka 15, Kumanovo	070 236 562	+389 70 236 562	Monday - Friday:  8:00 AM – 10:00 PM  Saturday:  8:00 AM – 2:00 PM Sunday:  8:00 AM – 12:00 PM	www.kokino-wineryhotel.business.site	OPERATIONAL	4.8	139	Review Author: Rozalija Obajdin | Rating: 4 | Text: Great place to stay if you are passing by Kumanovo. This was a perfect spot to make a night stop while travelling to Greece.nnThey had a baby cot and staff is wonderful. | ------Review Author: Jelena JJ | Rating: 4 | Text: Good place, really clean and comfortable. Recommend for family’s with children | ------Review Author: Florina Ioana | Rating: 5 | Text: It is perfectly clean and great stop if you need to sleep on your way. Great wine and nice stay on the terrace. Owner is very nice and welcoming. | ------Review Author: Ben Nykiel | Rating: 5 | Text: Hidden jewelnReally really nice placenCleannSuper peoplenWe stay till 12 pm talking live drinking best winenGot some to go 🍻😜nWe left some stuff behindnOwner pick them up and met us by boardernWow!!nThere are still good peoplenU can find them here | ------	No	42.1159721	21.7482767
8	ChIJwcsyNoIVVBMRZ33jlQRwV4Y	Wine Cellar Tikves AD Skopje	point of interest, food, establishment	810 no. 2, Skopje	02 318 1700	+389 2 318 1700	Monday - Friday:  8:00 AM – 4:00 PM  Sunday:  Closed	www.tikves.com.mk	OPERATIONAL	4.2	10	Review Author: Risto Nachevski | Rating: 5 | Text: Nice place to work and educate about wine ! | ------Review Author: Blaze Ilov | Rating: 1 | Text: Gnasi nevideni opomenite gi tia so minat so gipovite niz sela deka luge ziveat u selata ne se voze 100na saat selo e roa prasina ima deca | ------Review Author: Ljupco Janevic | Rating: 1 | Text:  | ------Review Author: Neno Jovanovski | Rating: 5 | Text:  | ------Review Author: Dimitar Zografski | Rating: 5 | Text:  | ------	Yes	42.001556	21.467886
9	ChIJAe5xEJITVBMRWeBStnlQsYc	Brzanov	point of interest, food, establishment	ul 1 br. 4 MK, Trubarevo	075 406 116	+389 75 406 116	Monday - Friday:  11:00 AM – 7:00 PM  Saturday:  11:00 AM – 5:00 PM Sunday:  Closed	www.brzanov.mk	OPERATIONAL	4.9	110	Review Author: Viktor Kuzmanovski | Rating: 5 | Text: The place is perfect for celebrations! It can be reserved and decorated in line with your desires and expectations. The owner Antonio is very caring, positive and communicative - he puts his heart and soul into what he does. The wine is magical!!nn10/10 I would recommend! | ------Review Author: Aleksandar Gjorgjievski | Rating: 5 | Text: Best wine and great food!nThis is a must see and a great experience for wine tasting. Wide veriety of high quality local and regional wines of their own production and they even had very special organic wines!nnDefinitely 5 star! | ------Review Author: Stefan | Rating: 5 | Text: Authentic Macedonian wine and food, very polite and engaging staff, as well as owners that have dedicated their lives into creating this exquisite product. A true family-owned winery like no other! One of the best I have ever visited and look forward to visiting again! | ------Review Author: Mark Warmerdam | Rating: 5 | Text: We had a wonderful time at this winery. Antonio was very kind and spoke good English. Also the wines were from an outstanding quality. He even gave us a cheese board to try out. I would recommend going here.nnThanks! | ------Review Author: Mitchel Breijer | Rating: 5 | Text: We had a great wine tasting with the owner and his wife. He told and showed us how they make their wines. The location is peaceful and their wine is incredible. Surely recommend!🍷 | ------	Yes	41.9856456	21.5171839
